Survey          Name        RA              Dec
STAR_TRACKER_POLE LMC_0001 04:42:21.17647 -65:24:42.80006
STAR_TRACKER_POLE LMC_0002 04:51:45.88235 -65:24:42.80006
STAR_TRACKER_POLE LMC_0003 05:01:10.58824 -65:24:42.80006
STAR_TRACKER_POLE LMC_0004 05:10:35.29412 -65:24:42.80006
STAR_TRACKER_POLE LMC_0005 05:20:00.00000 -65:24:42.80006
STAR_TRACKER_POLE LMC_0006 05:29:24.70588 -65:24:42.80006
STAR_TRACKER_POLE LMC_0007 05:38:49.41176 -65:24:42.80006
STAR_TRACKER_POLE LMC_0008 05:48:14.11765 -65:24:42.80006
STAR_TRACKER_POLE LMC_0009 05:57:38.82353 -65:24:42.80006
STAR_TRACKER_POLE LMC_0010 04:42:09.72973 -66:20:45.93091
STAR_TRACKER_POLE LMC_0011 04:51:53.51351 -66:20:45.93091
STAR_TRACKER_POLE LMC_0012 05:01:37.29730 -66:20:45.93091
STAR_TRACKER_POLE LMC_0013 05:11:21.08108 -66:20:45.93091
STAR_TRACKER_POLE LMC_0014 05:21:04.86486 -66:20:45.93091
STAR_TRACKER_POLE LMC_0015 05:30:48.64865 -66:20:45.93091
STAR_TRACKER_POLE LMC_0016 05:40:32.43243 -66:20:45.93091
STAR_TRACKER_POLE LMC_0017 05:50:16.21622 -66:20:45.93091
STAR_TRACKER_POLE LMC_0018 06:00:00.00000 -66:20:45.93091
STAR_TRACKER_POLE LMC_0019 04:43:56.61972 -67:16:40.26262
STAR_TRACKER_POLE LMC_0020 04:54:05.07042 -67:16:40.26262
STAR_TRACKER_POLE LMC_0021 05:04:13.52113 -67:16:40.26262
STAR_TRACKER_POLE LMC_0022 05:14:21.97183 -67:16:40.26262
STAR_TRACKER_POLE LMC_0023 05:24:30.42254 -67:16:40.26262
STAR_TRACKER_POLE LMC_0024 05:34:38.87324 -67:16:40.26262
STAR_TRACKER_POLE LMC_0025 05:44:47.32394 -67:16:40.26262
STAR_TRACKER_POLE LMC_0026 05:54:55.77465 -67:16:40.26262
STAR_TRACKER_POLE LMC_0027 06:05:04.22535 -67:16:40.26262
STAR_TRACKER_POLE LMC_0028 04:43:47.73723 -68:12:21.76642
STAR_TRACKER_POLE LMC_0029 04:54:18.39416 -68:12:21.76642
STAR_TRACKER_POLE LMC_0030 05:04:49.05109 -68:12:21.76642
