Name Alt Az
BLOCK-324_001  45.14 -162.81
BLOCK-324_002  61.08 -160.35
BLOCK-324_003  74.54 -149.90
BLOCK-324_004  45.38 -141.73
BLOCK-324_005  61.22 -125.84
BLOCK-324_006  45.47 -122.61
BLOCK-324_007  45.57 -103.32
BLOCK-324_008  58.20  -98.91
BLOCK-324_009  70.98  -94.50
BLOCK-324_010  45.62  -82.92
BLOCK-324_011  64.90  -62.15
BLOCK-324_012  45.48  -60.03
BLOCK-324_013  57.76  -36.59
BLOCK-324_014  45.25  -28.70
BLOCK-324_015  48.52  -14.78
BLOCK-324_016  49.62    0.48
BLOCK-324_017  62.95    0.71
BLOCK-324_018  76.28    1.33
BLOCK-324_019  48.37   15.69
BLOCK-324_020  44.97   29.49
BLOCK-324_021  57.41   37.60
BLOCK-324_022  44.98   60.59
BLOCK-324_023  64.38   62.99
BLOCK-324_024  45.04   83.27
BLOCK-324_025  70.40   94.64
BLOCK-324_026  57.62   99.05
BLOCK-324_027  45.01  103.47
BLOCK-324_028  44.98  122.57
BLOCK-324_029  60.75  125.51
BLOCK-324_030  45.02  141.55
BLOCK-324_031  74.25  148.39
BLOCK-324_032  60.88  159.64
BLOCK-324_033  44.97  162.53
BLOCK-324_034  50.38  179.79
